"CODIGO IMPA","DESCRIÇÃO EM PORTUGUÊS","DESCRIÇÃO EM INGLÊS","Unnamed: 2"
"110156","SAPATOS DE JOGGING (TENIS) - 28.0 CM - PR                                                                                                             ","JOGGING SHOES 28CM                                                                                                                                    ",""
"112142","SHORTS DE ALGODAO - TAMANHO: COR L                                                                                                                    ","TRUNKS COTTON COLORED SIZE-L                                                                                                                          ",""
"112143","SHORTS DE ALGODAO - TAMANHO: COR LL                                                                                                                   ","TRUNKS COTTON COLORED SIZE LL                                                                                                                         ",""
"112141","SHORTS DE ALGODAO - TAMANHO: COR M                                                                                                                    ","TRUNKS COTTON COLORED SIZE-M                                                                                                                          ",""
"111221","TELEVISORES - TV 14"" A COR - SET                                                                                                                      ","TV 14"" COLOR                                                                                                                                          ",""
"111222","TELEVISORES - TV 20"" A COR - SET                                                                                                                      ","TV 20"" COLOR                                                                                                                                          ",""
"111223","TELEVISORES - TV 21"" A COR - SET                                                                                                                      ","TV 21"" COLOR                                                                                                                                          ",""
"111224","TELEVISORES - TV 25"" A COR - SET                                                                                                                      ","TV 25"" COLOR                                                                                                                                          ",""
"1100","ITENS DE CONFORTO                                                                                                                                     ","WELFARE ITEMS                                                                                                                                         ",""
"1120","ROUPAS                                                                                                                                                ","WEAR                                                                                                                                                  ",""
"1121","ROUPAS DE BAIXO                                                                                                                                       ","UNDERWEAR                                                                                                                                             ",""
"0","COBERTORES - MATERIAL: 100% DE LÃ                                                                                                                     ","WOOL 100%  BLANKETS                                                                                                                                   ",""
"0","COBERTORES 100%  ACRILICOS                                                                                                                            ","NOT TRANSLATE                                                                                                                                         ",""
"0","COBERTORES DE RAYON-ACRILICO                                                                                                                          ","RAYON-ACRYL BLANKETS                                                                                                                                  ",""
"0","COBERTURA DE ESPUMA DE BORRACHA                                                                                                                       ","MOLTPLAIN FOAM RUBBERS                                                                                                                                ",""
"0","COBERTURA DE MESA OU PISO. DE PLASTICO TRANSPARENTE                                                                                                   ","TRANSPARENT PLASTIC SHEETING                                                                                                                          ",""
"0","COLCHA PARA CAMA  DE SOLTEIRO                                                                                                                         ","COUNTERPAN FOR CREW                                                                                                                                   ",""
"0","COLCHAO                                                                                                                                               ","MATTRESSES                                                                                                                                            ",""
"0","COLCHAO - TIPO: MOLAS INDIVIDUAIS                                                                                                                     ","MATTRESSES AND FOUNDATIONS (INDIVIDUAL SPRING)                                                                                                        ",""
"0","GRAVATA BORBOLETA                                                                                                                                     ","BOW TIES                                                                                                                                              ",""
"0","PANO - TIPO: P/ LIMPAR VIDRO - TAMANHO: TOALHAS DE CHÁ                                                                                                ","GLASS CLOTHS (TEA TOWELS)                                                                                                                             ",""
"0","SACOS PARA LAVANDERIA. DE LONA                                                                                                                        ","CANVAS LAUNDRY BAGS                                                                                                                                   ",""
"0","TOALHA DE MESA                                                                                                                                        ","TABLE CLOTH                                                                                                                                           ",""
"0","TOALHA DE MESA - TAMANHO:       TIPO:        MATERIAL:         COR:                                                                                   ","TABLE CLOTHS                                                                                                                                          ",""
"0","TOALHAS                                                                                                                                               ","TOWELS                                                                                                                                                ",""
"0","TRAVESSEIROS                                                                                                                                          ","PILLOWS                                                                                                                                               ",""
"0","VARAL (FIO) PARA LAVANDERIA                                                                                                                           ","LAUNDRY LINES                                                                                                                                         ",""
"1501","LENCOIS                                                                                                                                               ","BED SHEETS                                                                                                                                            ",""
"1501","LENCOL QUE NAO PRECISA SER PASSADO - MATERIAL: 50% POLYESTER/50% ALGODÃO                                                                              ","NON-IRONING BED SHEETS                                                                                                                                ",""
"1501","LENCOIS                                                                                                                                               ","BED SHEETS                                                                                                                                            ",""
"1501","LENCOL QUE NAO PRECISA SER PASSADO - MATERIAL: 50% POLYESTER/50% ALGODÃO                                                                              ","NON-IRONING BED SHEETS                                                                                                                                ",""
"150101","LENCOL - COR: BRANCO - MATERIAL: 100% ALGODAO - TAMANHO:1.370MM X 2.300MM                                                                             ","SHEET ALL COTTON WHITE 1370X2300MM                                                                                                                    ",""
"150102","LENCOL DE ALGODAO BRANCO - 1370X2500MM                                                                                                                ","SHEET ALL COTTON WHITE 1370X2500MM                                                                                                                    ",""
"150103","LENCOL - COR: BRANCO - MATERIAL: 100% ALGODAO -  TAMANHO: 1.370MM X 2.600MM                                                                           ","SHEET ALL COTTON WHITE 1370X2600MM                                                                                                                    ",""
"150106","LENCOL - COR: BRANCO - MATERIAL: 100% ALGODAO - TAMANHO: 1.500MM X 2.300MM                                                                            ","SHEET ALL COTTON WHITE 1500X2300MM                                                                                                                    ",""
"150107","LENCOL - COR: BRANCO - MATERIAL: 100% ALGODAO -  TAMANHO: 1.500MM X 2.400MM                                                                           ","SHEET ALL COTTON WHITE 1500X2400MM                                                                                                                    ",""
"150111","LENCOL - COR: BRANCO - MATERIAL: 100% ALGODAO - TAMANHO: 1.600MM X 2.500MM                                                                            ","SHEET ALL COTTON WHITE 1600X2500MM                                                                                                                    ",""
"150112","LENCOL - COR: BRANCO - MATERIAL: 100% ALGODAO - TAMANHO: 1.600MM X 2.600MM                                                                            ","SHEET ALL COTTON WHITE 1600X2600MM                                                                                                                    ",""
"150113","LENCOL - COR: BRANCO - MATERIAL: 100% ALGODAO - TAMANHO: 1.600MM X 2.820MM                                                                            ","SHEET ALL COTTON WHITE 1600X2820MM                                                                                                                    ",""
"150116","LENCOL - COR: BRANCO - MATERIAL: 100% ALGODAO - TAMANHO: 1.828MM X 2.300MM                                                                            ","SHEET ALL COTTON WHITE 1828X2300MM                                                                                                                    ",""
"150117","LENCOL - COR: BRANCO - MATERIAL: 100% ALGODAO - TAMANHO: 1.828MM X 2.500MM                                                                            ","SHEET ALL COTTON WHITE 1828X2500MM                                                                                                                    ",""
"150118","LENCOL - COR: BRANCO - MATERIAL: 100% ALGODAO - TAMANHO: 1.828MM X 2.600MM                                                                            ","SHEET ALL COTTON WHITE 1828X2600MM                                                                                                                    ",""
"150121","LENCOL - COR: BRANCO - MATERIAL: 100% ALGODAO - TAMANHO: 2.030MM X 2.400MM                                                                            ","SHEET ALL COTTON WHITE 2030X2400MM                                                                                                                    ",""
"150122","LENCOL - COR: BRANCO - MATERIAL: 100% ALGODAO - TAMANHO: 2.030MM X 2.500MM                                                                            ","SHEET ALL COTTON WHITE 2030X2500MM                                                                                                                    ",""
"150123","LENCOL - COR: BRANCO - MATERIAL: 100% ALGODAO - TAMANHO: 2.030MM X 2.600MM                                                                            ","SHEET ALL COTTON WHITE 2030X2600MM                                                                                                                    ",""
"150126","LENÇOL - COR: BRANCO - MATERIAL: 100% ALGODÃO - TAMANHO: 2.286MM X 2.400MM                                                                            ","SHEET ALL COTTON WHITE 2286X2400MM                                                                                                                    ",""
